company,statement,item,period,value
GARANTI,balance,"NAKİT, NAKİT BENZERLERİ ve MERKEZ BANKASI",2026/06,1142201
GARANTI,balance,"NAKİT, NAKİT BENZERLERİ ve MERKEZ BANKASI",2025/12,903086
GARANTI,balance,GERÇEĞE UYGUN DEĞER FARKI KAR/ZARARA YANSITILAN FİNANSAL VARLIKLAR (Net),2026/06,0
GARANTI,balance,GERÇEĞE UYGUN DEĞER FARKI KAR/ZARARA YANSITILAN FİNANSAL VARLIKLAR (Net),2025/12,50
GARANTI,balance,TÜREV FİNANSAL VARLIKLAR,2026/06,0
GARANTI,balance,TÜREV FİNANSAL VARLIKLAR,2025/12,0
GARANTI,balance,GERÇEĞE UYGUN DEĞER FARKI DİĞER KAPSAMLI GELİRE YANSITILAN FİNANSAL VARLIKLAR (Net),2026/06,0
GARANTI,balance,GERÇEĞE UYGUN DEĞER FARKI DİĞER KAPSAMLI GELİRE YANSITILAN FİNANSAL VARLIKLAR (Net),2025/12,0
GARANTI,balance,İTFA EDİLMİŞ MALİYETİ İLE ÖLÇÜLEN FİNANSAL VARLIKLAR (Net),2026/06,44070846
GARANTI,balance,İTFA EDİLMİŞ MALİYETİ İLE ÖLÇÜLEN FİNANSAL VARLIKLAR (Net),2025/12,32222980
GARANTI,balance,Faktoring Alacakları,2026/06,44024660
GARANTI,balance,Faktoring Alacakları,2025/12,32174509
GARANTI,balance,İskontolu Faktoring Alacakları (Net),2026/06,32802337
GARANTI,balance,İskontolu Faktoring Alacakları (Net),2025/12,24346997
GARANTI,balance,Diğer Faktoring Alacakları,2026/06,11222323
GARANTI,balance,Diğer Faktoring Alacakları,2025/12,7827512
GARANTI,balance,Tasarruf Finansman Alacakları,2026/06,0
GARANTI,balance,Tasarruf Finansman Alacakları,2025/12,0
GARANTI,balance,Tasarruf Fon Havuzundan,2026/06,0
GARANTI,balance,Tasarruf Fon Havuzundan,2025/12,0
GARANTI,balance,Özkaynaklardan,2026/06,0
GARANTI,balance,Özkaynaklardan,2025/12,0
GARANTI,balance,Finansman Kredileri,2026/06,0
GARANTI,balance,Finansman Kredileri,2025/12,0
GARANTI,balance,Tüketici Kredileri,2026/06,0
GARANTI,balance,Tüketici Kredileri,2025/12,0
GARANTI,balance,Kredi Kartları,2026/06,0
GARANTI,balance,Kredi Kartları,2025/12,0
GARANTI,balance,Taksitli Ticari Krediler,2026/06,0
GARANTI,balance,Taksitli Ticari Krediler,2025/12,0
GARANTI,balance,Kiralama İşlemleri (Net),2026/06,0
GARANTI,balance,Kiralama İşlemleri (Net),2025/12,0
GARANTI,balance,Finansal Kiralama Alacakları,2026/06,0
GARANTI,balance,Finansal Kiralama Alacakları,2025/12,0
GARANTI,balance,Faaliyet Kiralaması Alacakları,2026/06,0
GARANTI,balance,Faaliyet Kiralaması Alacakları,2025/12,0
GARANTI,balance,Kazanılmamış Gelirler (-),2026/06,-0
GARANTI,balance,Kazanılmamış Gelirler (-),2025/12,-0
GARANTI,balance,İtfa Edilmiş Maliyeti ile Ölçülen Diğer Finansal Varlıklar,2026/06,0
