company,period,item,value,unit,value_mn_tl
ALJ,2023/12,Alınan Krediler,3156326,1000TL,3156.326
ALJ,2023/12,Brüt Kâr (Zarar),142095,1000TL,142.095
ALJ,2023/12,Esas Faaliyet Gelirleri,926185,1000TL,926.185
ALJ,2023/12,Finansman Giderleri,-784090,1000TL,-784.09
ALJ,2023/12,Net Faaliyet Kârı (Zararı),36594,1000TL,36.594
ALJ,2023/12,Varlıklar Toplamı,4092356,1000TL,4092.356
ALJ,2023/12,Özkaynaklar,320478,1000TL,320.478
ALJ,2023/12,İhraç Edilen Menkul Kıymetler (Net),404894,1000TL,404.894
ALJ,2024/12,Alınan Krediler,5598331,1000TL,5598.331
ALJ,2024/12,Brüt Kâr (Zarar),290988,1000TL,290.988
ALJ,2024/12,Esas Faaliyet Gelirleri,2588596,1000TL,2588.596
ALJ,2024/12,Finansman Giderleri,-2297608,1000TL,-2297.608
ALJ,2024/12,Net Faaliyet Kârı (Zararı),-75803,1000TL,-75.803
ALJ,2024/12,Varlıklar Toplamı,7322154,1000TL,7322.154
ALJ,2024/12,Özkaynaklar,591773,1000TL,591.773
ALJ,2024/12,İhraç Edilen Menkul Kıymetler (Net),724241,1000TL,724.241
ALJ,2025/12,Alınan Krediler,5283652,1000TL,5283.652
ALJ,2025/12,Brüt Kâr (Zarar),505776,1000TL,505.776
ALJ,2025/12,Esas Faaliyet Gelirleri,3069332,1000TL,3069.332
ALJ,2025/12,Finansman Giderleri,-2563556,1000TL,-2563.556
ALJ,2025/12,Net Faaliyet Kârı (Zararı),94169,1000TL,94.169
ALJ,2025/12,Varlıklar Toplamı,6912992,1000TL,6912.992
ALJ,2025/12,Özkaynaklar,653390,1000TL,653.39
ALJ,2025/12,İhraç Edilen Menkul Kıymetler (Net),685059,1000TL,685.059
ALJ,2026/06,Alınan Krediler,5964719,1000TL,5964.719
ALJ,2026/06,Brüt Kâr (Zarar),260371,1000TL,260.371
ALJ,2026/06,Esas Faaliyet Gelirleri,1595239,1000TL,1595.239
ALJ,2026/06,Finansman Giderleri,-1334868,1000TL,-1334.868
ALJ,2026/06,Net Faaliyet Kârı (Zararı),16741,1000TL,16.741
ALJ,2026/06,Varlıklar Toplamı,7244018,1000TL,7244.018
ALJ,2026/06,Özkaynaklar,665656,1000TL,665.656
ALJ,2026/06,İhraç Edilen Menkul Kıymetler (Net),351937,1000TL,351.937
KOC,2023/12,Alınan Krediler,12812789,1000TL,12812.789
KOC,2023/12,Brüt Kâr (Zarar),947189,1000TL,947.189
KOC,2023/12,Esas Faaliyet Gelirleri,3997075,1000TL,3997.075
KOC,2023/12,Finansman Giderleri,-3049886,1000TL,-3049.886
KOC,2023/12,Net Faaliyet Kârı (Zararı),713169,1000TL,713.169
KOC,2023/12,Varlıklar Toplamı,17421176,1000TL,17421.176
KOC,2023/12,Özkaynaklar,1201813,1000TL,1201.813
KOC,2023/12,İhraç Edilen Menkul Kıymetler (Net),2619433,1000TL,2619.433
KOC,2024/12,Alınan Krediler,22401987,1000TL,22401.987
KOC,2024/12,Brüt Kâr (Zarar),1821720,1000TL,1821.72
KOC,2024/12,Esas Faaliyet Gelirleri,10456726,1000TL,10456.726
KOC,2024/12,Finansman Giderleri,-8635006,1000TL,-8635.006
KOC,2024/12,Net Faaliyet Kârı (Zararı),1406891,1000TL,1406.891
KOC,2024/12,Varlıklar Toplamı,31936185,1000TL,31936.185
KOC,2024/12,Özkaynaklar,2153729,1000TL,2153.729
KOC,2024/12,İhraç Edilen Menkul Kıymetler (Net),4712554,1000TL,4712.554
KOC,2025/12,Alınan Krediler,37404417,1000TL,37404.417
KOC,2025/12,Brüt Kâr (Zarar),2853128,1000TL,2853.128
KOC,2025/12,Esas Faaliyet Gelirleri,15279633,1000TL,15279.633
KOC,2025/12,Finansman Giderleri,-12426505,1000TL,-12426.505
KOC,2025/12,Net Faaliyet Kârı (Zararı),2208317,1000TL,2208.317
KOC,2025/12,Varlıklar Toplamı,55610263,1000TL,55610.263
KOC,2025/12,Özkaynaklar,3333203,1000TL,3333.203
KOC,2025/12,İhraç Edilen Menkul Kıymetler (Net),9849016,1000TL,9849.016
KOC,2026/06,Alınan Krediler,34091877,1000TL,34091.877
KOC,2026/06,Brüt Kâr (Zarar),1859334,1000TL,1859.334
KOC,2026/06,Esas Faaliyet Gelirleri,10149693,1000TL,10149.693
KOC,2026/06,Finansman Giderleri,-8290359,1000TL,-8290.359
KOC,2026/06,Net Faaliyet Kârı (Zararı),1684643,1000TL,1684.643
KOC,2026/06,Varlıklar Toplamı,55498927,1000TL,55498.927
KOC,2026/06,Özkaynaklar,4312742,1000TL,4312.742
KOC,2026/06,İhraç Edilen Menkul Kıymetler (Net),11937362,1000TL,11937.362
KOC_STELLANTIS,2023/12,Alınan Krediler,7844223,1000TL,7844.223
KOC_STELLANTIS,2023/12,Brüt Kâr (Zarar),316080,1000TL,316.08
KOC_STELLANTIS,2023/12,Esas Faaliyet Gelirleri,1945830,1000TL,1945.83
KOC_STELLANTIS,2023/12,Finansman Giderleri,-1629750,1000TL,-1629.75
KOC_STELLANTIS,2023/12,Net Faaliyet Kârı (Zararı),351784,1000TL,351.784
KOC_STELLANTIS,2023/12,Varlıklar Toplamı,11992524,1000TL,11992.524
KOC_STELLANTIS,2023/12,Özkaynaklar,730131,1000TL,730.131
KOC_STELLANTIS,2023/12,İhraç Edilen Menkul Kıymetler (Net),2146136,1000TL,2146.136
KOC_STELLANTIS,2024/12,Alınan Krediler,14489976,1000TL,14489.976
KOC_STELLANTIS,2024/12,Brüt Kâr (Zarar),890161,1000TL,890.161
KOC_STELLANTIS,2024/12,Esas Faaliyet Gelirleri,7482390,1000TL,7482.39
KOC_STELLANTIS,2024/12,Finansman Giderleri,-6592229,1000TL,-6592.229
KOC_STELLANTIS,2024/12,Net Faaliyet Kârı (Zararı),1009474,1000TL,1009.474
KOC_STELLANTIS,2024/12,Varlıklar Toplamı,20286449,1000TL,20286.449
KOC_STELLANTIS,2024/12,Özkaynaklar,1401727,1000TL,1401.727
KOC_STELLANTIS,2024/12,İhraç Edilen Menkul Kıymetler (Net),2967755,1000TL,2967.755
KOC_STELLANTIS,2025/12,Alınan Krediler,36355758,1000TL,36355.758
KOC_STELLANTIS,2025/12,Brüt Kâr (Zarar),1341366,1000TL,1341.366
KOC_STELLANTIS,2025/12,Esas Faaliyet Gelirleri,10928445,1000TL,10928.445
KOC_STELLANTIS,2025/12,Finansman Giderleri,-9587079,1000TL,-9587.079
KOC_STELLANTIS,2025/12,Net Faaliyet Kârı (Zararı),1328776,1000TL,1328.776
KOC_STELLANTIS,2025/12,Varlıklar Toplamı,48678320,1000TL,48678.32
KOC_STELLANTIS,2025/12,Özkaynaklar,2070812,1000TL,2070.812
KOC_STELLANTIS,2025/12,İhraç Edilen Menkul Kıymetler (Net),5213292,1000TL,5213.292
KOC_STELLANTIS,2026/06,Alınan Krediler,40229949,1000TL,40229.949
KOC_STELLANTIS,2026/06,Brüt Kâr (Zarar),1594295,1000TL,1594.295
KOC_STELLANTIS,2026/06,Esas Faaliyet Gelirleri,10294980,1000TL,10294.98
KOC_STELLANTIS,2026/06,Finansman Giderleri,-8700685,1000TL,-8700.685
KOC_STELLANTIS,2026/06,Net Faaliyet Kârı (Zararı),1630504,1000TL,1630.504
KOC_STELLANTIS,2026/06,Varlıklar Toplamı,54293702,1000TL,54293.702
KOC_STELLANTIS,2026/06,Özkaynaklar,3191929,1000TL,3191.929
KOC_STELLANTIS,2026/06,İhraç Edilen Menkul Kıymetler (Net),5473364,1000TL,5473.364
MERCEDES,2023/12,Alınan Krediler,11790798,1000TL,11790.798
MERCEDES,2023/12,Brüt Kâr (Zarar),-35552,1000TL,-35.552
MERCEDES,2023/12,Esas Faaliyet Gelirleri,2716807,1000TL,2716.807
MERCEDES,2023/12,Finansman Giderleri,-2752359,1000TL,-2752.359
MERCEDES,2023/12,Net Faaliyet Kârı (Zararı),389615,1000TL,389.615
MERCEDES,2023/12,Varlıklar Toplamı,14552801,1000TL,14552.801
MERCEDES,2023/12,Özkaynaklar,984500,1000TL,984.5
MERCEDES,2023/12,İhraç Edilen Menkul Kıymetler (Net),1317426,1000TL,1317.426
MERCEDES,2024/12,Alınan Krediler,19690120,1000TL,19690.12
MERCEDES,2024/12,Brüt Kâr (Zarar),966807,1000TL,966.807
