company,period,metric_id,metric,value
VDF Filo,2026/06,used_car_sales,Used Car Sales,849759554.0
VDF Filo,2026/06,cost_of_uc_sales,Cost of UC Sales,621043513.0
VDF Filo,2026/06,uc_sale_profit,UC Sale Profit,228716041.0
VDF Filo,2026/06,leased_assets_net,Leased Assets - Net,15427503098.0
VDF Filo,2026/06,impairment,Impairment,989810190.0
VDF Filo,2026/06,shareholders_equity,Shareholders' Equity,12846512149.0
VDF Filo,2026/06,profit_before_tax,Profit Before Tax,850842644.0
VDF Filo,2026/06,profit_after_tax,Profit After Tax,414960427.0
VDF Filo,2026/06,borrowings,Borrowings,1635322235.0
VDF Filo,2026/06,interest_expense,Interest Expense,-339054491.0
VDF Filo,2026/06,depreciation,Depreciation,435479881.0
VDF Filo,2026/06,operational_profit,Operational Profit,1057606484.0
VDF Filo,2025/12,used_car_sales,Used Car Sales,5943461440.1536
VDF Filo,2025/12,cost_of_uc_sales,Cost of UC Sales,6374977342.8224
VDF Filo,2025/12,uc_sale_profit,UC Sale Profit,-508153126.98277926
VDF Filo,2025/12,leased_assets_net,Leased Assets - Net,15014017566.1568
VDF Filo,2025/12,impairment,Impairment,-1731030362.1610699
VDF Filo,2025/12,shareholders_equity,Shareholders' Equity,12426497982.6688
VDF Filo,2025/12,profit_before_tax,Profit Before Tax,1118956291.328
VDF Filo,2025/12,profit_after_tax,Profit After Tax,583057169.8176
VDF Filo,2025/12,borrowings,Borrowings,2198703079.9872
VDF Filo,2025/12,interest_expense,Interest Expense,-1190468589.056
VDF Filo,2025/12,depreciation,Depreciation,2581405596.16
VDF Filo,2025/12,operational_profit,Operational Profit,5602103030.022223
VDF Filo,2025/06,used_car_sales,Used Car Sales,4253925200.0
VDF Filo,2025/06,cost_of_uc_sales,Cost of UC Sales,4293088778.0
VDF Filo,2025/06,uc_sale_profit,UC Sale Profit,-39163578.0
VDF Filo,2025/06,leased_assets_net,Leased Assets - Net,16843595963.5273
VDF Filo,2025/06,impairment,Impairment,-46295519.0
VDF Filo,2025/06,shareholders_equity,Shareholders' Equity,13940766376.4468
